JobID,Skills,Experience,Internships,Certificates,Projects,Education
56063,"C, Embedded Systems, IoT",Fresher,Internship in Analytics,Google Android Cert,E-learning Platform,"B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
56064,"Cloud Computing, AWS, DevOps",3+ years,Internship in IoT Lab,AWS Architect Cert,Food Delivery App,"B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
56065,"UI/UX, Figma, Adobe XD",1+ years,Internship in AI Research,CEH Cert,CI/CD Pipeline,"B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
56066,"Cybersecurity, Networking, Linux",Fresher,Internship in AI Research,"AWS Certified, Python Certified",Smart Home System,"MBA, Master of Business Administration, Management Studies"
56067,"Cybersecurity, Networking, Linux",2+ years,Internship in Web Company,Full Stack Cert,Smart Home System,"B.Tech ECE, Bachelor of Engineering in Electronics and Communication, Electronics and Communication Engineering"
56068,"C, Embedded Systems, IoT",1+ years,Internship in Mobile Dev,Oracle Java Cert,Image Recognition System,"B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
56069,"UI/UX, Figma, Adobe XD",1+ years,Internship in AI Research,Data Science Cert,"Chatbot, ATS Score System","MBA, Master of Business Administration, Management Studies"
56070,"Data Science, Pandas, NLP",2+ years,Internship in Mobile Dev,Embedded Cert,E-learning Platform,"B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
56071,"UI/UX, Figma, Adobe XD",2+ years,Internship at IT company,CEH Cert,"Chatbot, ATS Score System","B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
56072,"Cloud Computing, AWS, DevOps",3+ years,Internship at Startup,Full Stack Cert,E-learning Platform,"B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
56073,"C, Embedded Systems, IoT",2+ years,Internship in Web Company,Full Stack Cert,E-learning Platform,"B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
56074,"C, Embedded Systems, IoT",3+ years,Internship at IT company,CEH Cert,CI/CD Pipeline,"M.Tech Data Science, Master of Technology in Data Science, Data Science Engineering"
56075,"AI, Deep Learning, TensorFlow",3+ years,Internship in Design,Full Stack Cert,CI/CD Pipeline,"B.Tech ECE, Bachelor of Engineering in Electronics and Communication, Electronics and Communication Engineering"
56076,"React, Node.js, MongoDB",2+ years,Internship at Security Firm,Google Android Cert,"Firewall Project, Pen Testing","B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
56077,"C, Embedded Systems, IoT",2+ years,Internship at Security Firm,TensorFlow Cert,E-learning Platform,"B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
56078,"UI/UX, Figma, Adobe XD",1+ years,Internship in AI Research,"AWS Certified, Python Certified",CI/CD Pipeline,"B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
56079,"Python, Django, Machine Learning",1+ years,Internship at Security Firm,TensorFlow Cert,Image Recognition System,"MBA, Master of Business Administration, Management Studies"
56080,"Android, Kotlin, Firebase",1+ years,Internship at IT company,Full Stack Cert,"Firewall Project, Pen Testing","MBA, Master of Business Administration, Management Studies"
56081,"React, Node.js, MongoDB",2+ years,Internship in Design,TensorFlow Cert,"Built ATS system, Spam Classifier","B.Tech ECE, Bachelor of Engineering in Electronics and Communication, Electronics and Communication Engineering"
56082,"Java, Spring Boot, MySQL",3+ years,Internship in Analytics,Google Android Cert,"Built ATS system, Spam Classifier","B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
56083,"React, Node.js, MongoDB",1+ years,Internship at Security Firm,UI/UX Cert,"Built ATS system, Spam Classifier","B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
56084,"C, Embedded Systems, IoT",2+ years,Internship at Startup,"AWS Certified, Python Certified",Smart Home System,"M.Tech Data Science, Master of Technology in Data Science, Data Science Engineering"
56085,"AI, Deep Learning, TensorFlow",1+ years,Internship in Cloud Services,AWS Architect Cert,Image Recognition System,"B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
56086,"Java, Spring Boot, MySQL",Fresher,Internship at Security Firm,CEH Cert,Social Media App,"MBA, Master of Business Administration, Management Studies"
56087,"React, Node.js, MongoDB",1+ years,Internship in AI Research,Data Science Cert,Food Delivery App,"B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
56088,"Android, Kotlin, Firebase",Fresher,Internship in Mobile Dev,Google Android Cert,"Firewall Project, Pen Testing","B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
56089,"Java, Spring Boot, MySQL",2+ years,Internship at Security Firm,TensorFlow Cert,"Built ATS system, Spam Classifier","M.Tech AI, Master of Technology in Artificial Intelligence, Artificial Intelligence Engineering"
56090,"Java, Spring Boot, MySQL",2+ years,Internship in IoT Lab,Oracle Java Cert,Social Media App,"B.Des Design, Bachelor of Design, Design Engineering"
56091,"Android, Kotlin, Firebase",Fresher,Internship in Cloud Services,AWS Architect Cert,Smart Home System,"B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
56092,"Data Science, Pandas, NLP",Fresher,Internship in IoT Lab,Embedded Cert,Image Recognition System,"B.Tech Electrical, Bachelor of Engineering in Electrical Engineering, Electrical Engineering"
56093,"UI/UX, Figma, Adobe XD",1+ years,Internship at Startup,AWS Architect Cert,Food Delivery App,"B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
56094,"C, Embedded Systems, IoT",3+ years,Internship in IoT Lab,Data Science Cert,Image Recognition System,"MBA, Master of Business Administration, Management Studies"
56095,"Data Science, Pandas, NLP",Fresher,Internship in AI Research,"AWS Certified, Python Certified",Smart Home System,"B.Des Design, Bachelor of Design, Design Engineering"
56096,"Java, Spring Boot, MySQL",3+ years,Internship at Security Firm,"AWS Certified, Python Certified",E-learning Platform,"M.Tech Data Science, Master of Technology in Data Science, Data Science Engineering"
56097,"Cloud Computing, AWS, DevOps",3+ years,Internship in AI Research,UI/UX Cert,"Chatbot, ATS Score System","B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
56098,"Java, Spring Boot, MySQL",1+ years,Internship in Design,Full Stack Cert,Food Delivery App,"B.Tech Electrical, Bachelor of Engineering in Electrical Engineering, Electrical Engineering"
56099,"Cybersecurity, Networking, Linux",1+ years,Internship in Web Company,Oracle Java Cert,"Firewall Project, Pen Testing","MBA, Master of Business Administration, Management Studies"
56100,"Cloud Computing, AWS, DevOps",2+ years,Internship in Cloud Services,TensorFlow Cert,Social Media App,"B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
56101,"Cloud Computing, AWS, DevOps",2+ years,Internship in Mobile Dev,TensorFlow Cert,Food Delivery App,"B.Des Design, Bachelor of Design, Design Engineering"
56102,"Cybersecurity, Networking, Linux",2+ years,Internship in Web Company,Full Stack Cert,CI/CD Pipeline,"MBA, Master of Business Administration, Management Studies"
56103,"Cloud Computing, AWS, DevOps",Fresher,Internship in Cloud Services,Full Stack Cert,"Built ATS system, Spam Classifier","M.Tech AI, Master of Technology in Artificial Intelligence, Artificial Intelligence Engineering"
56104,"Android, Kotlin, Firebase",3+ years,Internship at IT company,Google Android Cert,Smart Home System,"B.Des Design, Bachelor of Design, Design Engineering"
56105,"Android, Kotlin, Firebase",Fresher,Internship in AI Research,TensorFlow Cert,E-learning Platform,"M.Tech Data Science, Master of Technology in Data Science, Data Science Engineering"
56106,"Data Science, Pandas, NLP",2+ years,Internship in Mobile Dev,AWS Architect Cert,"E-commerce Website, Banking App","B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
56107,"Android, Kotlin, Firebase",2+ years,Internship in Design,Full Stack Cert,"Firewall Project, Pen Testing","B.Des Design, Bachelor of Design, Design Engineering"
56108,"Android, Kotlin, Firebase",Fresher,Internship in Web Company,Oracle Java Cert,"E-commerce Website, Banking App","B.Tech Electrical, Bachelor of Engineering in Electrical Engineering, Electrical Engineering"
56109,"C, Embedded Systems, IoT",1+ years,Internship at Startup,Google Android Cert,"E-commerce Website, Banking App","M.Tech Data Science, Master of Technology in Data Science, Data Science Engineering"
56110,"React, Node.js, MongoDB",3+ years,Internship in Mobile Dev,UI/UX Cert,E-learning Platform,"B.Tech ECE, Bachelor of Engineering in Electronics and Communication, Electronics and Communication Engineering"
56111,"Java, Spring Boot, MySQL",2+ years,Internship in IoT Lab,Full Stack Cert,Image Recognition System,"B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
56112,"Data Science, Pandas, NLP",3+ years,Internship in Design,Google Android Cert,Food Delivery App,"B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
56113,"Cloud Computing, AWS, DevOps",2+ years,Internship at IT company,"AWS Certified, Python Certified",Food Delivery App,"M.Tech Data Science, Master of Technology in Data Science, Data Science Engineering"
56114,"C, Embedded Systems, IoT",1+ years,Internship in AI Research,Google Android Cert,"E-commerce Website, Banking App","B.Tech Electrical, Bachelor of Engineering in Electrical Engineering, Electrical Engineering"
56115,"Java, Spring Boot, MySQL",Fresher,Internship in IoT Lab,CEH Cert,E-learning Platform,"MBA, Master of Business Administration, Management Studies"
56116,"Python, Django, Machine Learning",3+ years,Internship at Startup,UI/UX Cert,"Chatbot, ATS Score System","B.Des Design, Bachelor of Design, Design Engineering"
56117,"React, Node.js, MongoDB",2+ years,Internship in AI Research,Data Science Cert,E-learning Platform,"B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
56118,"React, Node.js, MongoDB",2+ years,Internship in Analytics,TensorFlow Cert,"E-commerce Website, Banking App","B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
56119,"UI/UX, Figma, Adobe XD",2+ years,Internship in AI Research,CEH Cert,E-learning Platform,"B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
56120,"Data Science, Pandas, NLP",Fresher,Internship at Security Firm,Google Android Cert,"Firewall Project, Pen Testing","B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
56121,"Android, Kotlin, Firebase",3+ years,Internship at IT company,TensorFlow Cert,"Built ATS system, Spam Classifier","MBA, Master of Business Administration, Management Studies"
56122,"UI/UX, Figma, Adobe XD",3+ years,Internship in Web Company,AWS Architect Cert,Image Recognition System,"B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
56123,"Cybersecurity, Networking, Linux",Fresher,Internship at Security Firm,AWS Architect Cert,E-learning Platform,"M.Tech AI, Master of Technology in Artificial Intelligence, Artificial Intelligence Engineering"
56124,"Java, Spring Boot, MySQL",1+ years,Internship at Security Firm,Full Stack Cert,"Firewall Project, Pen Testing","B.Tech ECE, Bachelor of Engineering in Electronics and Communication, Electronics and Communication Engineering"
56125,"Java, Spring Boot, MySQL",Fresher,Internship at IT company,UI/UX Cert,"Chatbot, ATS Score System","B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
56126,"Cloud Computing, AWS, DevOps",Fresher,Internship at IT company,Full Stack Cert,CI/CD Pipeline,"MBA, Master of Business Administration, Management Studies"
56127,"React, Node.js, MongoDB",1+ years,Internship in Cloud Services,AWS Architect Cert,"Chatbot, ATS Score System","M.Tech Data Science, Master of Technology in Data Science, Data Science Engineering"
56128,"Python, Django, Machine Learning",Fresher,Internship in Cloud Services,Google Android Cert,Smart Home System,"M.Tech Data Science, Master of Technology in Data Science, Data Science Engineering"
56129,"Cloud Computing, AWS, DevOps",1+ years,Internship in IoT Lab,Google Android Cert,Food Delivery App,"B.Tech Electrical, Bachelor of Engineering in Electrical Engineering, Electrical Engineering"
56130,"React, Node.js, MongoDB",Fresher,Internship in Cloud Services,Data Science Cert,Smart Home System,"B.Des Design, Bachelor of Design, Design Engineering"
56131,"Data Science, Pandas, NLP",3+ years,Internship in Mobile Dev,Data Science Cert,Smart Home System,"M.Tech Data Science, Master of Technology in Data Science, Data Science Engineering"
56132,"Cybersecurity, Networking, Linux",2+ years,Internship in Analytics,Oracle Java Cert,"E-commerce Website, Banking App","M.Tech Data Science, Master of Technology in Data Science, Data Science Engineering"
56133,"AI, Deep Learning, TensorFlow",2+ years,Internship in AI Research,TensorFlow Cert,E-learning Platform,"B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
56134,"Java, Spring Boot, MySQL",Fresher,Internship at Startup,Embedded Cert,Smart Home System,"MBA, Master of Business Administration, Management Studies"
56135,"Java, Spring Boot, MySQL",2+ years,Internship in AI Research,Data Science Cert,"Firewall Project, Pen Testing","B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
56136,"Cybersecurity, Networking, Linux",Fresher,Internship in Analytics,AWS Architect Cert,"Built ATS system, Spam Classifier","B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
56137,"React, Node.js, MongoDB",3+ years,Internship at IT company,CEH Cert,Food Delivery App,"B.Tech Electrical, Bachelor of Engineering in Electrical Engineering, Electrical Engineering"
56138,"C, Embedded Systems, IoT",Fresher,Internship in Mobile Dev,Google Android Cert,CI/CD Pipeline,"B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
56139,"Cloud Computing, AWS, DevOps",Fresher,Internship at IT company,Google Android Cert,"Chatbot, ATS Score System","B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
56140,"Cybersecurity, Networking, Linux",1+ years,Internship at IT company,Full Stack Cert,Social Media App,"B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
56141,"Data Science, Pandas, NLP",1+ years,Internship in IoT Lab,CEH Cert,"Built ATS system, Spam Classifier","B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
56142,"AI, Deep Learning, TensorFlow",1+ years,Internship at IT company,Embedded Cert,"Built ATS system, Spam Classifier","B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
56143,"Data Science, Pandas, NLP",3+ years,Internship in Design,AWS Architect Cert,CI/CD Pipeline,"MBA, Master of Business Administration, Management Studies"
56144,"Java, Spring Boot, MySQL",3+ years,Internship in AI Research,CEH Cert,Smart Home System,"B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
56145,"Android, Kotlin, Firebase",1+ years,Internship in AI Research,UI/UX Cert,Social Media App,"M.Tech Data Science, Master of Technology in Data Science, Data Science Engineering"
56146,"UI/UX, Figma, Adobe XD",3+ years,Internship in Web Company,Data Science Cert,"E-commerce Website, Banking App","MBA, Master of Business Administration, Management Studies"
56147,"Python, Django, Machine Learning",Fresher,Internship in IoT Lab,Data Science Cert,Food Delivery App,"B.Tech Electrical, Bachelor of Engineering in Electrical Engineering, Electrical Engineering"
56148,"Android, Kotlin, Firebase",3+ years,Internship in Design,Embedded Cert,Smart Home System,"M.Tech Data Science, Master of Technology in Data Science, Data Science Engineering"
56149,"Cybersecurity, Networking, Linux",3+ years,Internship at IT company,Data Science Cert,Social Media App,"B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
56150,"C, Embedded Systems, IoT",2+ years,Internship in Mobile Dev,CEH Cert,Smart Home System,"B.Tech ECE, Bachelor of Engineering in Electronics and Communication, Electronics and Communication Engineering"
56151,"React, Node.js, MongoDB",1+ years,Internship in Design,Oracle Java Cert,Smart Home System,"B.Des Design, Bachelor of Design, Design Engineering"
56152,"UI/UX, Figma, Adobe XD",Fresher,Internship in Mobile Dev,Embedded Cert,"Chatbot, ATS Score System","MBA, Master of Business Administration, Management Studies"
56153,"Android, Kotlin, Firebase",1+ years,Internship in AI Research,CEH Cert,CI/CD Pipeline,"B.Des Design, Bachelor of Design, Design Engineering"
56154,"React, Node.js, MongoDB",Fresher,Internship at Security Firm,Oracle Java Cert,Food Delivery App,"B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
56155,"AI, Deep Learning, TensorFlow",Fresher,Internship in AI Research,CEH Cert,"E-commerce Website, Banking App","B.Tech Electrical, Bachelor of Engineering in Electrical Engineering, Electrical Engineering"
56156,"AI, Deep Learning, TensorFlow",2+ years,Internship at IT company,Google Android Cert,"Chatbot, ATS Score System","M.Tech AI, Master of Technology in Artificial Intelligence, Artificial Intelligence Engineering"
56157,"Android, Kotlin, Firebase",1+ years,Internship in Cloud Services,Embedded Cert,CI/CD Pipeline,"B.Tech Electrical, Bachelor of Engineering in Electrical Engineering, Electrical Engineering"
56158,"Data Science, Pandas, NLP",3+ years,Internship in Analytics,"AWS Certified, Python Certified",Smart Home System,"M.Tech Data Science, Master of Technology in Data Science, Data Science Engineering"
56159,"Android, Kotlin, Firebase",3+ years,Internship at Security Firm,UI/UX Cert,"E-commerce Website, Banking App","B.Des Design, Bachelor of Design, Design Engineering"
56160,"Python, Django, Machine Learning",1+ years,Internship in Design,Full Stack Cert,"Built ATS system, Spam Classifier","B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
56161,"Data Science, Pandas, NLP",3+ years,Internship in AI Research,AWS Architect Cert,"Chatbot, ATS Score System","M.Tech Data Science, Master of Technology in Data Science, Data Science Engineering"
56162,"Cloud Computing, AWS, DevOps",2+ years,Internship at Security Firm,Embedded Cert,Image Recognition System,"B.Tech ECE, Bachelor of Engineering in Electronics and Communication, Electronics and Communication Engineering"
56163,"Data Science, Pandas, NLP",Fresher,Internship in Design,Google Android Cert,"Chatbot, ATS Score System","B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
56164,"UI/UX, Figma, Adobe XD",3+ years,Internship at Security Firm,"AWS Certified, Python Certified","Firewall Project, Pen Testing","B.Tech Electrical, Bachelor of Engineering in Electrical Engineering, Electrical Engineering"
56165,"Cybersecurity, Networking, Linux",3+ years,Internship in Web Company,TensorFlow Cert,CI/CD Pipeline,"B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
56166,"UI/UX, Figma, Adobe XD",2+ years,Internship in Design,Google Android Cert,"E-commerce Website, Banking App","B.Tech ECE, Bachelor of Engineering in Electronics and Communication, Electronics and Communication Engineering"
56167,"C, Embedded Systems, IoT",Fresher,Internship in Mobile Dev,CEH Cert,"E-commerce Website, Banking App","MBA, Master of Business Administration, Management Studies"
56168,"Python, Django, Machine Learning",Fresher,Internship in IoT Lab,Google Android Cert,"Chatbot, ATS Score System","M.Tech Data Science, Master of Technology in Data Science, Data Science Engineering"
56169,"Android, Kotlin, Firebase",3+ years,Internship in Mobile Dev,UI/UX Cert,"Chatbot, ATS Score System","M.Tech AI, Master of Technology in Artificial Intelligence, Artificial Intelligence Engineering"
56170,"Python, Django, Machine Learning",1+ years,Internship in Mobile Dev,"AWS Certified, Python Certified","Firewall Project, Pen Testing","M.Tech AI, Master of Technology in Artificial Intelligence, Artificial Intelligence Engineering"
56171,"Android, Kotlin, Firebase",Fresher,Internship in AI Research,AWS Architect Cert,Social Media App,"M.Tech Data Science, Master of Technology in Data Science, Data Science Engineering"
56172,"Java, Spring Boot, MySQL",Fresher,Internship at Startup,Full Stack Cert,CI/CD Pipeline,"B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
56173,"UI/UX, Figma, Adobe XD",3+ years,Internship in IoT Lab,Embedded Cert,Smart Home System,"B.Des Design, Bachelor of Design, Design Engineering"
56174,"Android, Kotlin, Firebase",3+ years,Internship in Analytics,CEH Cert,Image Recognition System,"B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
56175,"C, Embedded Systems, IoT",3+ years,Internship in Cloud Services,Google Android Cert,Smart Home System,"B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
56176,"AI, Deep Learning, TensorFlow",3+ years,Internship in Mobile Dev,"AWS Certified, Python Certified",CI/CD Pipeline,"B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
56177,"C, Embedded Systems, IoT",1+ years,Internship in Design,UI/UX Cert,"Chatbot, ATS Score System","B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
56178,"Cybersecurity, Networking, Linux",Fresher,Internship at IT company,"AWS Certified, Python Certified","E-commerce Website, Banking App","B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
56179,"Android, Kotlin, Firebase",3+ years,Internship in Mobile Dev,Embedded Cert,Image Recognition System,"B.Tech Electrical, Bachelor of Engineering in Electrical Engineering, Electrical Engineering"
56180,"Cybersecurity, Networking, Linux",1+ years,Internship in Design,AWS Architect Cert,Social Media App,"B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
56181,"Python, Django, Machine Learning",2+ years,Internship in Analytics,UI/UX Cert,CI/CD Pipeline,"B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
56182,"Data Science, Pandas, NLP",3+ years,Internship in Web Company,AWS Architect Cert,Image Recognition System,"B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
56183,"Android, Kotlin, Firebase",Fresher,Internship in Web Company,AWS Architect Cert,E-learning Platform,"B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
56184,"Python, Django, Machine Learning",1+ years,Internship at Startup,AWS Architect Cert,Food Delivery App,"B.Des Design, Bachelor of Design, Design Engineering"
56185,"UI/UX, Figma, Adobe XD",Fresher,Internship at IT company,AWS Architect Cert,Food Delivery App,"MBA, Master of Business Administration, Management Studies"
56186,"Python, Django, Machine Learning",3+ years,Internship in Web Company,Full Stack Cert,Smart Home System,"MBA, Master of Business Administration, Management Studies"
56187,"Java, Spring Boot, MySQL",2+ years,Internship at IT company,Data Science Cert,E-learning Platform,"M.Tech AI, Master of Technology in Artificial Intelligence, Artificial Intelligence Engineering"
56188,"UI/UX, Figma, Adobe XD",1+ years,Internship in Design,CEH Cert,"Built ATS system, Spam Classifier","M.Tech Data Science, Master of Technology in Data Science, Data Science Engineering"
56189,"Cloud Computing, AWS, DevOps",2+ years,Internship at Security Firm,UI/UX Cert,Image Recognition System,"B.Tech ECE, Bachelor of Engineering in Electronics and Communication, Electronics and Communication Engineering"
56190,"Cybersecurity, Networking, Linux",3+ years,Internship at IT company,Google Android Cert,E-learning Platform,"M.Tech AI, Master of Technology in Artificial Intelligence, Artificial Intelligence Engineering"
56191,"Cybersecurity, Networking, Linux",Fresher,Internship in Design,CEH Cert,Image Recognition System,"B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
56192,"Cloud Computing, AWS, DevOps",Fresher,Internship in AI Research,Google Android Cert,Image Recognition System,"B.Des Design, Bachelor of Design, Design Engineering"
56193,"Cloud Computing, AWS, DevOps",3+ years,Internship at Startup,Embedded Cert,Social Media App,"B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
56194,"AI, Deep Learning, TensorFlow",Fresher,Internship in Mobile Dev,"AWS Certified, Python Certified",CI/CD Pipeline,"M.Tech Data Science, Master of Technology in Data Science, Data Science Engineering"
56195,"Java, Spring Boot, MySQL",2+ years,Internship in Mobile Dev,Data Science Cert,"Built ATS system, Spam Classifier","M.Tech AI, Master of Technology in Artificial Intelligence, Artificial Intelligence Engineering"
56196,"Cloud Computing, AWS, DevOps",Fresher,Internship at Security Firm,Full Stack Cert,Food Delivery App,"B.Tech ECE, Bachelor of Engineering in Electronics and Communication, Electronics and Communication Engineering"
56197,"Data Science, Pandas, NLP",Fresher,Internship at Security Firm,Oracle Java Cert,"Built ATS system, Spam Classifier","B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
56198,"UI/UX, Figma, Adobe XD",Fresher,Internship in Design,Full Stack Cert,"Firewall Project, Pen Testing","B.Tech ECE, Bachelor of Engineering in Electronics and Communication, Electronics and Communication Engineering"
56199,"Java, Spring Boot, MySQL",3+ years,Internship at IT company,Oracle Java Cert,Smart Home System,"B.Tech ECE, Bachelor of Engineering in Electronics and Communication, Electronics and Communication Engineering"
56200,"Data Science, Pandas, NLP",Fresher,Internship in Analytics,UI/UX Cert,"E-commerce Website, Banking App","B.Des Design, Bachelor of Design, Design Engineering"
56201,"AI, Deep Learning, TensorFlow",1+ years,Internship in IoT Lab,Oracle Java Cert,"Built ATS system, Spam Classifier","M.Tech AI, Master of Technology in Artificial Intelligence, Artificial Intelligence Engineering"
56202,"Android, Kotlin, Firebase",2+ years,Internship at IT company,Google Android Cert,Smart Home System,"B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
56203,"Cybersecurity, Networking, Linux",2+ years,Internship in Analytics,Data Science Cert,"Firewall Project, Pen Testing","MBA, Master of Business Administration, Management Studies"
56204,"Data Science, Pandas, NLP",1+ years,Internship in Web Company,Oracle Java Cert,"Built ATS system, Spam Classifier","B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
56205,"Cybersecurity, Networking, Linux",Fresher,Internship in Web Company,CEH Cert,E-learning Platform,"B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
56206,"Python, Django, Machine Learning",3+ years,Internship in Web Company,Full Stack Cert,"Firewall Project, Pen Testing","B.Tech Electrical, Bachelor of Engineering in Electrical Engineering, Electrical Engineering"
56207,"Python, Django, Machine Learning",3+ years,Internship in Mobile Dev,Data Science Cert,CI/CD Pipeline,"B.Des Design, Bachelor of Design, Design Engineering"
56208,"AI, Deep Learning, TensorFlow",2+ years,Internship in Mobile Dev,"AWS Certified, Python Certified","E-commerce Website, Banking App","B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
56209,"Android, Kotlin, Firebase",3+ years,Internship in AI Research,Oracle Java Cert,E-learning Platform,"M.Tech Data Science, Master of Technology in Data Science, Data Science Engineering"
56210,"Cybersecurity, Networking, Linux",2+ years,Internship in Mobile Dev,CEH Cert,Social Media App,"MBA, Master of Business Administration, Management Studies"
56211,"C, Embedded Systems, IoT",1+ years,Internship in AI Research,Embedded Cert,E-learning Platform,"M.Tech AI, Master of Technology in Artificial Intelligence, Artificial Intelligence Engineering"
56212,"UI/UX, Figma, Adobe XD",2+ years,Internship at Startup,Oracle Java Cert,"Built ATS system, Spam Classifier","B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
56213,"Android, Kotlin, Firebase",2+ years,Internship in Cloud Services,"AWS Certified, Python Certified","Built ATS system, Spam Classifier","B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
56214,"AI, Deep Learning, TensorFlow",2+ years,Internship in Design,"AWS Certified, Python Certified","Built ATS system, Spam Classifier","B.Tech Electrical, Bachelor of Engineering in Electrical Engineering, Electrical Engineering"
56215,"Cloud Computing, AWS, DevOps",Fresher,Internship at Startup,Embedded Cert,Smart Home System,"MBA, Master of Business Administration, Management Studies"
56216,"C, Embedded Systems, IoT",3+ years,Internship at Security Firm,"AWS Certified, Python Certified",Image Recognition System,"B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
56217,"Java, Spring Boot, MySQL",3+ years,Internship at IT company,UI/UX Cert,"Firewall Project, Pen Testing","MBA, Master of Business Administration, Management Studies"
56218,"Cybersecurity, Networking, Linux",Fresher,Internship in Mobile Dev,Oracle Java Cert,CI/CD Pipeline,"M.Tech AI, Master of Technology in Artificial Intelligence, Artificial Intelligence Engineering"
56219,"Data Science, Pandas, NLP",2+ years,Internship at Security Firm,"AWS Certified, Python Certified","Chatbot, ATS Score System","B.Tech Electrical, Bachelor of Engineering in Electrical Engineering, Electrical Engineering"
56220,"Android, Kotlin, Firebase",1+ years,Internship in Design,Google Android Cert,"Chatbot, ATS Score System","B.Tech ECE, Bachelor of Engineering in Electronics and Communication, Electronics and Communication Engineering"
